name,lat,lng
Unnamed Mosque 356,25.2094078,51.4488906
Unnamed Mosque 357,25.2072475,51.4646383
Unnamed Mosque 358,24.5976291,54.6959564
Unnamed Mosque 359,24.3435308,54.4849987
Unnamed Mosque 360,25.3392206,51.4692651
Ladies Prayer Room,24.9817754,55.0933471
Gents Prayer Room,24.9810423,55.0930673
Unnamed Mosque 363,25.7767962,56.009939
Unnamed Mosque 364,25.3295032,55.4494187
Unnamed Mosque 365,25.306983,55.5416161
Unnamed Mosque 366,25.5339131,55.5420402
Unnamed Mosque 367,24.3129142,54.4974951
Unnamed Mosque 368,25.2627018,51.5522565
Unnamed Mosque 369,24.4400188,54.4432864
Unnamed Mosque 370,24.453174,54.3099502
Unnamed Mosque 371,25.1432396,55.2447637
Haqeel Valley Mosque,25.8119447,56.0476558
Unnamed Mosque 373,25.9283308,56.0607419
Unnamed Mosque 374,25.1028831,55.1752262
المسجد الإيراني,25.2328998,55.2663607
مسجد علي بن أبي طالب,25.3747196,55.4777071
Masjid Jama al-Assadin,24.4201281,54.5793684
مسجد السلمة,25.4924794,55.5756876
Obaid Humaid Bo Ekloh,25.471994,55.5887148
Unnamed Mosque 380,25.4871346,55.5809283
Ladies Prayer Hall,25.3577282,55.3835205
Unnamed Mosque 382,24.1922591,55.7623178
Unnamed Mosque 383,24.3614573,54.5127191
Unnamed Mosque 384,23.5429755,56.2783467
Unnamed Mosque 385,25.1107378,56.286854
Female mosque,24.9910769,56.3454057
Male mosque,24.9910695,56.3460201
Al Bayan Mosque,25.2688708,51.4814086
Unnamed Mosque 389,23.973667,52.2665466
Unnamed Mosque 390,23.968493,52.2558521
Unnamed Mosque 391,24.9311638,51.5671484
Unnamed Mosque 392,24.3622254,54.6277327
Unnamed Mosque 393,25.2280514,55.5985442
Prayer Room,25.2540964,55.3001203
Unnamed Mosque 395,25.5011042,55.5783392
Unnamed Mosque 396,25.3032271,56.1643195
Unnamed Mosque 397,25.3806286,56.1764216
Unnamed Mosque 398,22.9229481,53.989637
Unnamed Mosque 399,22.9445471,54.0709465
Unnamed Mosque 400,25.0052702,56.3270625
Unnamed Mosque 401,25.0055254,56.349349
Unnamed Mosque 402,25.0273715,56.3417154
Unnamed Mosque 403,25.3500739,56.3473427
Unnamed Mosque 404,25.3518215,56.3414204
Unnamed Mosque 405,25.3506871,56.3445586
Unnamed Mosque 406,25.0217353,56.2753603
مسجد الحيل,25.0923984,56.2449864
Hajji Mosque,25.323814,55.3787625
Unnamed Mosque 409,25.7224713,55.9023105
Unnamed Mosque 410,25.1597269,56.2573908
Unnamed Mosque 411,25.3137579,56.1714408
Unnamed Mosque 412,25.3363755,56.1726826
Unnamed Mosque 413,25.450325,56.1301509
Unnamed Mosque 414,25.4453212,56.1272702
Unnamed Mosque 415,25.1671495,56.3383082
Unnamed Mosque 416,25.0786657,56.358836
Unnamed Mosque 417,25.0753265,56.3583639
Unnamed Mosque 418,25.3948888,56.3288529
Unnamed Mosque 419,25.4014405,56.3504984
Unnamed Mosque 420,25.3780235,56.347828
Unnamed Mosque 421,25.3310154,56.3365032
Unnamed Mosque 422,25.3370033,56.3388689
Unnamed Mosque 423,25.3348094,56.3445391
Unnamed Mosque 424,25.2829341,56.3611212
